price,listing_year,land_area_cents,built_up_sqft,bedrooms,bathrooms,parking,property_age,land_area_cents_capped,built_up_sqft_capped,bedrooms_capped,bathrooms_capped,property_age_capped,parking_capped,land_area_cents_missing,property_age_missing,built_up_sqft_missing,bedrooms_missing,log_price,n_amenities,amen_vehicle_parking_facility,amen_good_residential_area,amen_electricity_connection,amen_kitchen,amen_hall,amen_dining_room,amen_tar_road_frontage,amen_lorry_access,amen_calm_and_quiet_area,amen_living_room,amen_balcony,amen_kitchen_with_cupboard_works,amen_compound_wall_and_gate,amen_car_porch,amen_sitout,amen_work_area,amen_vitrified_tiles,amen_two_wheeler_access,amen_well_water,amen_3_phase_electricity_connection,amen_full_of_greenery,amen_common_bathroom,amen_water_authority_connection,amen_panoramic_view,amen_bus_route,amen_commercial_residential_purpose,amen_drawing_room,amen_square_plot,amen_posh_residential_area,amen_study_room,amen_24_hours_water_supply,amen_furnished,amen_rectangular_plot,amen_gated_colony,amen_wood_works,amen_marble_flooring,amen_main_road_frontage,amen_security,amen_store_room,amen_landscape_garden,amen_2_side_road,amen_lift_facility,amen_garden,amen_power_backup,amen_air_conditioning,amen_outside_toilet,amen_borewell_water_source,amen_2_way_entrance,amen_swimming_pool,locality_freq,dist_Ernakulam,dist_Idukki,dist_Kannur,dist_Kasargod,dist_Kollam,dist_Kottayam,dist_Kozhikode,dist_Malappuram,dist_Palakkad,dist_Pathanamthitta,dist_Thiruvananthapuram,dist_Thrissur,dist_Wayanad,type_commercial,type_house,type_land,type_other,type_villa
6500000.0,2026,2.6,1150.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,15.687312888712007,15,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02241545893719807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16000000.0,2026,14.5,1850.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,16.588099342704055,16,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570048309178744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55000000.0,2026,8.0,2800.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,17.822843761378564,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.024541062801932367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19000000.0,2026,0.0,4200.0,3.0,3.0,0.0,12.0,0,0,0,0,0,0,0,1,0,1,16.759949589762293,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02241545893719807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200000.0,2026,8.0,1475.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,15.789591722875162,18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001932367149758454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13500000.0,2026,5.0,2000.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,0,1,0,1,16.41820031748273,17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8500000.0,2026,4.0,1500.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,0,1,0,1,15.955576839107596,15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200000.0,2026,3.25,1200.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,15.789591722875162,16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005797101449275362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7200000.0,2026,3.0,1310.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,15.789591722875162,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004057971014492754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10000000.0,2026,8.0,2300.0,4.0,4.0,1.0,18.0,0,0,0,0,0,0,1,0,0,0,16.118095750958314,16,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007536231884057971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5500000.0,2026,5.0,1650.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,15.520258832020865,17,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011594202898550724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3200000.0,2026,8.0,950.0,3.0,2.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,14.978661680269907,10,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00676328502415459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000000.0,2026,0.0,10000.0,3.0,3.0,0.0,12.0,0,0,0,0,0,0,0,1,0,1,17.72753358339242,11,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570048309178744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4200000.0,2026,0.0,1462.0,2.0,2.0,0.0,12.0,0,0,0,0,0,0,0,1,1,0,15.250595321348806,7,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570048309178744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300000.0,2026,8.0,1575.0,3.0,0.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,15.803385043104912,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20000000.0,2026,5.6899999999999995,2449.0,3.0,4.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,16.811242881518265,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40000000.0,2026,25.0,3250.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,0,1,0,1,17.50439003707821,14,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5500000.0,2026,8.0,1800.0,2.0,2.0,0.0,16.0,0,0,0,0,0,0,1,1,1,0,15.520258832020865,9,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000966183574879227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12500000.0,2026,5.6899999999999995,2250.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,16.341239282272525,16,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570048309178744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5500000.0,2026,0.0,1462.0,3.0,3.0,0.0,12.0,0,0,0,0,0,0,0,1,1,1,15.520258832020865,14,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01681159420289855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8800000.0,2026,8.0,1750.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,15.990262393084793,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5500000.0,2026,8.0,1500.0,3.0,3.0,0.0,16.0,0,0,0,0,0,0,1,1,0,0,15.520258832020865,13,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714975845410628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6500000.0,2026,3.63,1550.0,3.0,3.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,15.687312888712007,14,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017391304347826088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23000000.0,2026,5.38,2400.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,16.951004817371683,18,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008502415458937198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15000000.0,2026,6.0,3000.0,4.0,4.0,2.0,11.0,0,0,0,0,0,0,0,0,0,0,16.52356082573315,34,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12500000.0,2026,0.0,1206.0,2.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,16.341239282272525,12,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9400000.0,2026,4.18,2170.0,4.0,4.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,16.056220353623207,15,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003864734299516908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000000.0,2026,6.0,4775.0,4.5,3.5,0.0,16.0,0,0,0,0,0,0,1,1,1,1,17.216707972959764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830917874396135,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4800000.0,2026,5.5,1800.0,4.0,3.0,0.0,9.0,0,0,0,0,0,0,0,0,1,0,15.38412668421143,14,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01565217391304348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6000000.0,2026,13.5,1800.0,3.0,2.0,0.0,16.0,0,0,0,0,0,0,0,1,1,0,15.607270193858982,13,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007536231884057971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
